t,x1,y1,x2,y2,x3,y3,x4,y4
17539200,1006130.843,3458203.374,-1.38972869e+11,-5.642547017e+10,9.00263957e+10,-6.154036419e+10,-6.723190113e+10,2.152463448e+11
17625600,999882.5389,3475180.804,-1.380062532e+11,-5.880296802e+10,9.165775817e+10,-5.901905904e+10,-6.92337615e+10,2.146038155e+11
17712000,993682.2151,3492001.921,-1.369991262e+11,-6.116320362e+10,9.321901469e+10,-5.645260907e+10,-7.122963779e+10,2.13942738e+11
17798400,987533.8457,3508669.348,-1.359518003e+11,-6.350549153e+10,9.470890148e+10,-5.384293511e+10,-7.321935696e+10,2.132631677e+11
17884800,981441.3144,3525185.816,-1.34864599e+11,-6.582915211e+10,9.612620578e+10,-5.119199422e+10,-7.520274646e+10,2.125651617e+11
17971200,975408.4116,3541554.157,-1.337378575e+11,-6.813351169e+10,9.746976696e+10,-4.850177837e+10,-7.717963431e+10,2.118487789e+11
18057600,969438.8313,3557777.304,-1.325719219e+11,-7.041790273e+10,9.873847754e+10,-4.577431317e+10,-7.914984903e+10,2.111140796e+11
18144000,963536.1683,3573858.287,-1.313671494e+11,-7.268166402e+10,9.993128426e+10,-4.301165653e+10,-8.111321972e+10,2.10361126e+11
18230400,957703.9156,3589800.232,-1.301239083e+11,-7.492414084e+10,1.01047189e+11,-4.021589731e+10,-8.306957607e+10,2.095899817e+11
18316800,951945.4614,3605606.354,-1.288425776e+11,-7.714468519e+10,1.0208525e+11,-3.738915389e+10,-8.501874832e+10,2.088007119e+11
18403200,946264.0865,3621279.96,-1.275235472e+11,-7.934265586e+10,1.030445822e+11,-3.453357274e+10,-8.696056736e+10,2.079933836e+11
18489600,940662.9619,3636824.442,-1.261672174e+11,-8.151741872e+10,1.03924359e+11,-3.165132697e+10,-8.889486467e+10,2.071680652e+11
18576000,935145.1461,3652243.272,-1.24773999e+11,-8.366834678e+10,1.047238125e+11,-2.87446148e+10,-9.082147238e+10,2.063248268e+11
18662400,929713.5825,3667540.004,-1.233443132e+11,-8.579482043e+10,1.054422343e+11,-2.581565806e+10,-9.274022329e+10,2.0546374e+11
18748800,924371.0976,3682718.267,-1.218785914e+11,-8.789622757e+10,1.060789768e+11,-2.286670061e+10,-9.465095083e+10,2.045848782e+11
18835200,919120.3981,3697781.763,-1.20377275e+11,-8.997196378e+10,1.066334536e+11,-1.990000672e+10,-9.655348914e+10,2.036883161e+11
18921600,913964.069,3712734.263,-1.188408154e+11,-9.202143248e+10,1.071051403e+11,-1.691785951e+10,-9.844767307e+10,2.027741301e+11
19008000,908904.5718,3727579.603,-1.172696736e+11,-9.404404505e+10,1.074935752e+11,-1.392255923e+10,-1.003333381e+11,2.018423982e+11
19094400,903944.2418,3742321.68,-1.156643204e+11,-9.603922106e+10,1.077983599e+11,-1.091642161e+10,-1.022103207e+11,2.008931998e+11
19180800,899085.2868,3756964.452,-1.140252361e+11,-9.800638832e+10,1.080191598e+11,-7901776137,-1.040784576e+11,1.999266162e+11
19267200,894329.785,3771511.928,-1.123529102e+11,-9.994498313e+10,1.081557052e+11,-4880964343,-1.059375869e+11,1.989427298e+11
